año,ncodi,totalcompra,producfarma,materialsani,implantes,restomateriasani,servcontratado,trabajocontratado,xrestocompras,variaexistencias,servexteriores,sumistro,xrestoserviexter,gastopersonal,sueldos,indemnizacion,segsocempresa,otrgassocial,dotaamortizacion,perdidadeterioro,xrestogasto,totcompragasto
2020,113.0,1535894,344330.0,169443,0.0,169443.0,1877.0,678201.0,342043.0,3039.0,719835,213817.0,506018.0,26209836,19875799,349499.0,5984538,0.0,298707.0,-6504.0,50165.0,28810972
2020,619.0,7884157,971762.0,1749006,493444.0,1255562.0,3800207.0,1248674.0,114508.0,24083.0,2844980,209305.0,2635675.0,7083969,5203283,151380.0,1591074,138232.0,2423752.0,0.0,312984.0,20573925
2020,163.0,5453290,126493.0,1412366,574127.0,838239.0,3217684.0,647852.0,48895.0,-26827.0,979733,97459.0,882274.0,2890388,2180177,-402.0,663398,47215.0,202688.0,-54028.0,232471.0,9677715
2020,131.0,245802,72318.0,52506,0.0,52506.0,1114.0,24303.0,95561.0,0.0,566931,79878.0,487053.0,1887375,1437421,9506.0,416398,24050.0,12084.0,240.0,132044.0,2844476
2020,375.0,762218,114702.0,106844,60.0,106784.0,14526.0,188463.0,337683.0,242.0,231222,39090.0,192132.0,7764302,5838470,0.0,1837175,88657.0,184413.0,93708.0,1552.0,9037657
2020,1090.0,112996574,49279257.0,41769429,10108086.0,31661343.0,4775429.0,13738271.0,3434188.0,-418235.0,12078609,2823822.0,9254787.0,246037908,189322717,343272.0,52613604,3758315.0,5367531.0,10023.0,481127.0,376553537
2020,764.0,123689049,49082625.0,40968653,10751584.0,30217069.0,20878864.0,10371438.0,2387469.0,0.0,4914199,2689709.0,2224490.0,185048597,147310386,26363.0,37388435,323413.0,0.0,0.0,772710.0,314424555
2020,14.0,5112036,2417934.0,1409837,84228.0,1325609.0,586235.0,624282.0,73748.0,-253353.0,-800431,220505.0,-1020936.0,2980191,2104348,19591.0,675715,180537.0,952329.0,248847.0,0.0,8239619
2020,657.0,12175109,6154388.0,2931214,370530.0,2560684.0,734376.0,1929672.0,425459.0,0.0,1072259,429108.0,643151.0,30244664,25098056,2766.0,5143842,0.0,500414.0,0.0,0.0,43992446
2020,362.0,8050233,1107796.0,2578262,1200344.0,1377918.0,1916152.0,2079906.0,368117.0,-40976.0,2298304,172107.0,2126197.0,5537029,4249730,0.0,1284099,3200.0,387378.0,679201.0,348049.0,17259218
