,particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,tipo,año,ncodi
0,0.0,103677.0,64383.0,39294.0,61456.0,Hospital,2013,"990,00"
1,324687.0,478280.0,392084.0,86196.0,484228.0,Hospital,2013,"680,00"
2,793512.0,1803352.0,1803352.0,0.0,20402.0,Hospital,2013,"411,00"
3,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"241,00"
4,24406.0,63557.0,55091.0,8466.0,44106.0,Hospital,2013,"558,00"
5,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"167,00"
6,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"248,00"
7,585787.0,2343056.0,2343056.0,0.0,6369.0,Hospital,2013,"224,00"
8,153936.0,69348.0,38074.0,31274.0,38397.0,Hospital,2013,"591,00"
9,31958.0,52238.0,44864.0,7374.0,40145.0,Hospital,2013,"586,00"
10,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"453,00"
11,0.0,158145.0,158145.0,0.0,0.0,Hospital,2013,"113,00"
12,477217.0,4250824.0,4132722.0,118102.0,725206.0,Hospital,2013,"619,00"
13,211124.0,517596.0,517096.0,500.0,5380.0,Hospital,2013,"163,00"
14,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"131,00"
15,12701.0,46790.0,0.0,46790.0,0.0,Hospital,2013,"375,00"
16,129911.0,1193011.0,424598.0,768413.0,208632.0,Hospital,2013,"1090,00"
17,235697.0,3013094.0,2461223.0,551871.0,265428.0,Hospital,2013,"764,00"
18,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"14,00"
19,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"657,00"
20,167019.0,823722.0,823722.0,0.0,6327.0,Hospital,2013,"362,00"
21,0.0,3163.0,913.0,2250.0,3496.0,Hospital,2013,"989,00"
22,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"145,00"
23,154341.0,141608.0,133142.0,8466.0,17674.0,Hospital,2013,"511,00"
24,59853.0,54509.0,48254.0,6255.0,3251.0,Hospital,2013,"530,00"
25,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"6,00"
26,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"161,00"
27,37369.0,46624.0,29121.0,17503.0,13979.0,Hospital,2013,"623,00"
28,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"489,00"
29,3955603.0,14528424.0,14464008.0,64416.0,44226.0,Hospital,2013,"875,00"
30,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"940,00"
31,1466425.0,7101982.0,7050989.0,50993.0,302025.0,Hospital,2013,"946,00"
32,468403.0,633021.0,555926.0,77095.0,158224.0,Hospital,2013,"1023,00"
33,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"1054,00"
34,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"1057,00"
35,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"1031,00"
36,32206.0,96456.0,0.0,96456.0,64469.0,Hospital,2013,"1032,00"
37,968959.0,2670208.0,2490568.0,179640.0,236136.0,Hospital,2013,"1064,00"
38,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"226,00"
39,200963.0,228103.0,64497.0,163606.0,86745.0,Hospital,2013,"687,00"
40,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"745,00"
41,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"109,00"
42,23138.0,516219.0,84328.0,431891.0,98787.0,Hospital,2013,"808,00"
43,2310.0,1636.0,0.0,1636.0,501.0,Hospital,2013,"971,00"
44,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"128,00"
45,71102.0,514913.0,295475.0,219438.0,13478.0,Hospital,2013,"919,00"
46,98109.0,2279182.0,1428410.0,850772.0,506525.0,Hospital,2013,"725,00"
47,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"3,00"
48,582387.0,12833.0,12833.0,0.0,0.0,Hospital,2013,"386,00"
49,942929.0,0.0,0.0,0.0,0.0,Hospital,2013,"306,00"
50,69626.0,114325.0,114325.0,0.0,1098.0,Hospital,2013,"15,00"
51,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"264,00"
52,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"867,00"
53,0.0,297.0,117.0,180.0,93.0,Hospital,2013,"910,00"
54,9113.0,324898.0,1529.0,323369.0,39943.0,Hospital,2013,"1053,00"
55,8221.0,374783.0,301434.0,73349.0,44246.0,Hospital,2013,"1055,00"
56,130327.0,26800.0,26800.0,0.0,0.0,Hospital,2013,"1081,00"
57,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"1099,00"
58,0.0,135724.0,0.0,135724.0,0.0,Hospital,2013,"529,00"
59,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"345,00"
60,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"515,00"
61,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"174,00"
62,20591.0,169959.0,42561.0,127398.0,144540.0,Hospital,2013,"523,00"
63,1202970.0,19945063.0,19600901.0,344162.0,224576.0,Hospital,2013,"697,00"
64,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"239,00"
65,759119.0,10485936.0,10261686.0,224250.0,377259.0,Hospital,2013,"287,00"
66,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"377,00"
67,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"692,00"
68,708299.0,0.0,0.0,0.0,0.0,Hospital,2013,"335,00"
69,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"435,00"
70,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"423,00"
71,566046.0,9250272.0,9047814.0,202458.0,16686.0,Hospital,2013,"351,00"
72,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"810,00"
73,305276.0,138754.0,38577.0,100177.0,34768.0,Hospital,2013,"830,00"
74,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"892,00"
75,2218050.0,31654594.0,29749643.0,1904951.0,84399.0,Hospital,2013,"921,00"
76,6722.0,11964.0,9794.0,2170.0,1024.0,Hospital,2013,"991,00"
77,0.0,0.0,0.0,0.0,0.0,Hospital,2013,"992,00"
78,47269.0,217474.0,110493.0,106981.0,50637.0,Hospital,2013,"993,00"
79,1032300.0,4914686.0,3546759.0,1367927.0,250336.0,Hospital,2013,"1070,00"
80,829562.0,62669.0,57517.0,5152.0,1641.0,Hospital,2013,"1095,00"
81,29605.0,50043.0,50043.0,0.0,0.0,Hospital,2013,"1094,00"
82,1.0,2.0,1.0,1.0,0.0,Hospital,2013,"473,00"
83,45875.0,521736.0,275035.0,246701.0,47875.0,Hospital,2013,"663,00"
84,0.0,38714.0,0.0,38714.0,0.0,Hospital,2013,"552,00"
85,1421634.0,10348423.0,8933763.0,1414660.0,0.0,Hospital,2013,"772,00"
86,0.0,0.0,0.0,0.0,14153859.0,Hospital,2013,"568,00"
87,31651.0,0.0,0.0,0.0,1088609.0,Hospital,2013,"398,00"
88,0.0,436686.0,0.0,436686.0,354642.0,Hospital,2013,"394,00"
